src_ip,icmp_count,icmp_rate,avg_pkt_size,iat_mean,iat_std,label
192.168.100.2,1,0.5,98.0,0.0,0.0,0
192.168.100.2,1,0.5,98.0,0.0,0.0,0
192.168.100.4,1,0.5,98.0,0.0,0.0,0
192.168.100.4,1,0.5,98.0,0.0,0.0,0
192.168.100.2,1,0.5,98.0,0.0,0.0,0
192.168.100.2,1,0.5,98.0,0.0,0.0,0
192.168.100.4,1,0.5,98.0,0.0,0.0,0
192.168.100.4,1,0.5,98.0,0.0,0.0,0
192.168.100.2,1,0.5,98.0,0.0,0.0,0
192.168.100.2,1,0.5,98.0,0.0,0.0,0
192.168.100.4,1,0.5,98.0,0.0,0.0,0
192.168.100.4,1,0.5,98.0,0.0,0.0,0
192.168.100.2,1,0.5,98.0,0.0,0.0,0
192.168.100.2,1,0.5,98.0,0.0,0.0,0
192.168.100.4,1,0.5,98.0,0.0,0.0,0
192.168.100.4,1,0.5,98.0,0.0,0.0,0
192.168.100.2,1,0.5,98.0,0.0,0.0,0
192.168.100.2,1,0.5,98.0,0.0,0.0,0
192.168.100.4,1,0.5,98.0,0.0,0.0,0
192.168.100.4,1,0.5,98.0,0.0,0.0,0
192.168.100.2,1,0.5,98.0,0.0,0.0,0
192.168.100.2,1,0.5,98.0,0.0,0.0,0
192.168.100.4,1,0.5,98.0,0.0,0.0,0
192.168.100.4,1,0.5,98.0,0.0,0.0,0
192.168.100.2,1,0.5,98.0,0.0,0.0,0
192.168.100.2,1,0.5,98.0,0.0,0.0,0
192.168.100.4,1,0.5,98.0,0.0,0.0,0
192.168.100.4,1,0.5,98.0,0.0,0.0,0
192.168.100.2,1,0.5,98.0,0.0,0.0,0
192.168.100.2,1,0.5,98.0,0.0,0.0,0
192.168.100.4,1,0.5,98.0,0.0,0.0,0
192.168.100.4,1,0.5,98.0,0.0,0.0,0
192.168.100.2,1,0.5,98.0,0.0,0.0,0
192.168.100.2,1,0.5,98.0,0.0,0.0,0
192.168.100.4,1,0.5,98.0,0.0,0.0,0
192.168.100.4,1,0.5,98.0,0.0,0.0,0
192.168.100.2,1,0.5,98.0,0.0,0.0,0
192.168.100.2,1,0.5,98.0,0.0,0.0,0
192.168.100.4,1,0.5,98.0,0.0,0.0,0
192.168.100.4,1,0.5,98.0,0.0,0.0,0
192.168.100.2,1,0.5,98.0,0.0,0.0,0
192.168.100.2,1,0.5,98.0,0.0,0.0,0
192.168.100.4,1,0.5,98.0,0.0,0.0,0
192.168.100.4,1,0.5,98.0,0.0,0.0,0
